"SYMBOL 
","COMPANY 
","PURPOSE 
","DETAILS 
","DATE 
"
"FIBERWEB","Fiberweb (India) Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","14-May-2026"
"GALAPREC","Gala Precision Engineering Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","14-May-2026"
"GALAXYSURF","Galaxy Surfactants Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","14-May-2026"
"GAYAPROJ","Gayatri Projects Limited","Financial Results","To consider and approve the financial results for the quarter & year ended March 31, 2026","14-May-2026"
"GESHIP","The Great Eastern Shipping Company Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and declaration of dividend, if any","14-May-2026"
"GMDCLTD","Gujarat Mineral Development Corporation Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","14-May-2026"
"HAL","Hindustan Aeronautics Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","14-May-2026"
"HCC","Hindustan Construction Company Limited","Financial Results/Fund Raising","To consider and approve the financial results for the period ended March 31, 2026 and Fund Raising","14-May-2026"
"HINDCON","Hindcon Chemicals Limited","Financial Results/Dividend","To consider and approve the Standalone and Consolidated Financial Results for the quarter and year ended March 31, 2026 and To recommend dividend if any.","14-May-2026"
"HUBTOWN","Hubtown Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","14-May-2026"
"HUDCO","Housing & Urban Development Corporation Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and final dividend, if any","14-May-2026"
"INDIAGLYCO","India Glycols Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","14-May-2026"
"INDIANHUME","Indian Hume Pipe Company Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","14-May-2026"
"INDIGRID","IndiGrid Infrastructure Trust","Financial Results/Fund Raising/Other business matters","Intimation of Meeting of Board of Directors of IndiGrid Investment Managers Limited, the Investment Manager of IndiGrid Infrastructure Trust scheduled to be held on Thursday, May 14, 2026","14-May-2026"
"IRFC","Indian Railway Finance Corporation Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended March 31, 2026 and other business matters","14-May-2026"
"IRFC","Indian Railway Finance Corporation Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended March 31, 2026 and other business matters","14-May-2026"
"JGCHEM","J.G.Chemicals Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","14-May-2026"
"JSWSTEEL","JSW Steel Limited","Financial Results/Dividend/Fund Raising","To consider and approve the financial results for the period ended March 31, 2026, dividend and Fund Raising","14-May-2026"
"JSWSTEEL","JSW Steel Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","14-May-2026"
"JTEKTINDIA","Jtekt India Limited","Financial Results/Dividend/Other business matters","To consider and approve the financial results for the period ended March 31, 2026, dividend and other business matters","14-May-2026"
"KHAICHEM","Khaitan Chemicals & Fertilizers Limited","Other business matters","To consider other business matters","14-May-2026"
"KIRLOSENG","Kirloskar Oil Engines Limited","Financial Results/Dividend/Other business matters","To consider and approve the financial results for the period ended March 31, 2026, dividend and other business matters","14-May-2026"
"KOTYARK","Kotyark Industries Limited","Bonus/Other business matters","To consider bonus and other business matters","14-May-2026"
"KPIL","Kalpataru Projects International Limited","Financial Results/Dividend/Other business matters","To consider and approve the financial results for the period ended March 31, 2026, dividend and other business matters","14-May-2026"
"KRBL","KRBL Limited","Financial Results/Dividend","To consider and approve Audited Financial Results (standalone and consolidated) for the fourth quarter and financial year ended March 31, 2026 and recommendation of dividend, if any","14-May-2026"
"KRITIKA","Kritika Wires Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended March 31, 2026 and other business matters","14-May-2026"
"KRN","KRN Heat Exchanger and Refrigeration Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","14-May-2026"
"LEEL","LEEL Electricals Limited","Financial Results/Other business matters","LEEL : 14-May-2026 :  The Company has informed the Exchange that a Board meeting to be held on May 11, 2026 has been re-scheduled. Further, the Company has informed the Exchange that the meeting of the Board of Directors of the Company will be held on May 14, 2026, To consider and approve the financial results for the period ended March 31, 2026 and other business matters","14-May-2026"
"LTFOODS","LT Foods Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and recommendation of Final dividend, if any.","14-May-2026"
"MANGALAM","Mangalam Drugs And Organics Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended March 31, 2026 and other business matters","14-May-2026"
"MEDANTA","Global Health Limited","Financial Results/Dividend","To consider and approve the financial results for the quarter and year ended March 31, 2026 and recommendation of final dividend, if any subject to shareholders approval.","14-May-2026"
"MENONBE","Menon Bearings Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","14-May-2026"
"MOL","Meghmani Organics Limited","Financial Results","MOL : 14-May-2026 :  The Company has informed the Exchange that a Board meeting to be held on May 09, 2026 has been re-scheduled and now will be held on Thursday, May 14, 2026,  to consider and approve the financial results for the quarter and year ended on March 31, 2026","14-May-2026"
"MOLDTECH","Mold-Tek Technologies Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","14-May-2026"
"MUKANDLTD","Mukand Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","14-May-2026"
"MUTHOOTFIN","Muthoot Finance Limited","Financial Results","To consider and approve the audited financial results for the period ended March 31, 2026","14-May-2026"
"NIITLTD","NIIT Limited","Financial Results/Dividend/Other business matters","To consider and approve Audited financial results for the period ended March 31, 2026, dividend and other business matters","14-May-2026"
"NILKAMAL","Nilkamal Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","14-May-2026"
"PAR","Par Drugs and Chemicals Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended March 31, 2026 and other business matters","14-May-2026"
"PAR","Par Drugs and Chemicals Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended March 31, 2026 and other business matters","14-May-2026"
"PATELENG","Patel Engineering Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","14-May-2026"
"PGIL","Pearl Global Industries Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","14-May-2026"
"PITTIENG","Pitti Engineering Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and recommendation of final dividend, if any","14-May-2026"
"PNGJL","P N Gadgil Jewellers Limited","Financial Results","To consider and approve the Audited Standalone and Consolidated Financial Results for the quarter and year ended March 31, 2026","14-May-2026"
"PODDARMENT","Poddar Pigments Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","14-May-2026"
"PRICOLLTD","Pricol Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","14-May-2026"
